Athlete Name,Year,Team,Time,Event
"Hamilton, Duncan",SR-4,Montana State,08:25.2,3000 Steeplechase
"Wilkinson, Matthew",SR-4,Minnesota,08:29.3,3000 Steeplechase
"Trippas, Ed",SR-4,Washington,08:31.4,3000 Steeplechase
"Shitsama, Victor",SR-4,Oklahoma State,08:31.5,3000 Steeplechase
"Rooks, Kenneth",JR-3,BYU,08:31.8,3000 Jteeplechase
"Mountain, Nathan",SO-2,Virginia,08:32.1,3000 Steeplechase
"Thygesen, Patrick",SO-2,Providence,08:33.8,3000 Steeplechase
"Johnson, Derek",JR-3,Virginia,08:33.8,3000 Jteeplechase
"Stokes, Parker",JR-3,Georgetown,08:34.7,3000 Jteeplechase
"Seitzer, Tom",JR-3,Notre Dame,08:34.9,3000 Jteeplechase
"Abouzouhir, Abdelhakim",JR-3,Eastern Kentucky,08:36.6,3000 Jteeplechase
"Keehan, Michael",JR-3,Penn,08:36.8,3000 Jteeplechase
"Robertson, Kevin",JR-3,Syracuse,08:37.3,3000 Jteeplechase
"Baker, Christian",JR-3,Tulsa,08:38.7,3000 Jteeplechase
"Wehrli, Max",SO-2,Utah State,08:38.9,3000 Steeplechase
"Macintosh, Jordan",SR-4,Portland State,08:39.0,3000 Steeplechase
"Mendez, Joel",JR-3,Utah Valley,08:39.8,3000 Jteeplechase
"Miley, Alex",SR-4,Santa Clara,08:40.3,3000 Steeplechase
"Garcia- Palencia, Pedro",JR-3,Eastern Kentucky,08:40.7,3000 Jteeplechase
"Jaeger, Zach",JR-3,Georgia Tech,08:40.7,3000 Jteeplechase
"Labatte, Luke",JR-3,North Dakota,08:41.7,3000 Jteeplechase
"Kibiego, Victor",FR-1,UTEP,08:41.9,3000 Fteeplechase
"Herold, Peter",JR-3,UCLA,08:42.2,3000 Jteeplechase
"Sado, Yasin",JR-3,Virginia,08:42.5,3000 Jteeplechase
"Ruiz, Estanis",SO-2,Portland,08:42.7,3000 Steeplechase
"Jones, Adrian",SR-4,Utah Valley,08:42.8,3000 Steeplechase
"McManus, Rob",FR-1,Montana State,08:42.9,3000 Fteeplechase
"Yohannes, Awet",SR-4,New Mexico,08:43.1,3000 Steeplechase
"Harders, Charles",SR-4,Miami (Ohio),08:43.1,3000 Steeplechase
"Holtzen, Ryker",FR-1,Wyoming,08:43.3,3000 Fteeplechase
"Williams, Carson",JR-3,Furman,08:43.6,3000 Jteeplechase
"Singleton, CJ",FR-1,Notre Dame,08:43.9,3000 Fteeplechase
"Harward, Hayden",JR-3,Southern Utah,08:44.0,3000 Jteeplechase
"Winter, Bronson",JR-3,Weber State,08:44.2,3000 Jteeplechase
"Miller, Jack",JR-3,Pittsburgh,08:44.4,3000 Jteeplechase
"Parrish, Charlie",SR-4,Bradley,08:44.6,3000 Steeplechase
"Sieperda, Gable",JR-3,Iowa State,08:44.6,3000 Jteeplechase
"Slenning, Alex",JR-3,Oregon,08:44.7,3000 Jteeplechase
"Crandall, Mark",JR-3,Utah State,08:44.9,3000 Jteeplechase
"Rymer, Declan",SO-2,Virginia Tech,08:45.0,3000 Steeplechase
"Measner, Logan",FR-1,Wisconsin,08:45.1,3000 Fteeplechase
"Smith, Dawson",JR-3,Southern Illinois,08:45.3,3000 Jteeplechase
"Duchatschek, Clayton",SR-4,Wichita State,08:46.0,3000 Steeplechase
"Williamson, Marshall",SR-4,North Carolina,08:46.0,3000 Steeplechase
"McEachern, Cullen",SR-4,Gonzaga,08:46.3,3000 Steeplechase
"Wilkes, Jamison",JR-3,Weber State,08:46.4,3000 Jteeplechase
"Price, Jonas",SO-2,Oklahoma State,08:46.8,3000 Steeplechase
"Kadri, Ahmed",SO-2,Eastern Kentucky,08:47.1,3000 Steeplechase
"Chaston, Thomas",JR-3,Colorado St.,08:47.2,3000 Jteeplechase
"White, Hunter",JR-3,Charlotte,08:47.4,3000 Jteeplechase
"Besst, Dawson",SR-4,Colorado St.,08:47.8,3000 Steeplechase
"Sarney, Kyle",SO-2,Northeastern,08:47.9,3000 Steeplechase
"Limo, Kelvin",SO-2,Washington St.,08:48.3,3000 Steeplechase
"Franks, Mac",SR-4,North Florida,08:48.8,3000 Steeplechase
"Bungei, Kelvin",JR-3,Iowa State,08:49.3,3000 Jteeplechase
"Forrester, Matthew",JR-3,Butler,08:49.5,3000 Jteeplechase
"Ponder, Cameron",SR-4,Furman,08:49.5,3000 Steeplechase
"Lepore, Christopher",JR-3,Connecticut,08:50.0,3000 Jteeplechase
"Remick, Austin",JR-3,Lipscomb,08:50.1,3000 Jteeplechase
"Addison, Evan",JR-3,Villanova,08:50.2,3000 Jteeplechase
"Chapman, Henry",JR-3,Notre Dame,08:50.3,3000 Jteeplechase
"Allen, Christian",JR-3,BYU,08:50.3,3000 Jteeplechase
"Pryor, Reed",SO-2,Harvard,08:50.6,3000 Steeplechase
"Fleming, Alec",JR-3,Virginia Tech,08:50.7,3000 Jteeplechase
"Gebhardt, Jake",JR-3,Indiana,08:51.1,3000 Jteeplechase
"Taylor, Levi",JR-3,Montana State,08:51.2,3000 Jteeplechase
"Griffith, Sam",JR-3,Washington St.,08:51.2,3000 Jteeplechase
"Chilcott, Harvey",JR-3,Santa Clara,08:51.3,3000 Jteeplechase
"Stanford, Garrett",FR-1,BYU,08:51.5,3000 Fteeplechase
"Wyatt, Zachary",SR-4,Memphis,08:51.9,3000 Steeplechase
"Laird, Cooper",SO-2,Gonzaga,08:52.0,3000 Steeplechase
"Spamer, Jack",JR-3,Michigan,08:52.0,3000 Jteeplechase
"Hare, William",SR-4,Rutgers,08:52.2,3000 Steeplechase
"Nolan, Trevor",SO-2,Xavier (Ohio),08:52.3,3000 Steeplechase
"Atkeson, Winslow",SO-2,Yale,08:52.5,3000 Steeplechase
"Corrigan, James",FR-1,BYU,08:52.5,3000 Fteeplechase
"Sado, Ahmed",SO-2,Portland,08:52.6,3000 Steeplechase
"Davis, Nathan",FR-1,Army West Point,08:52.7,3000 Fteeplechase
"Erikson, Zachary",SO-2,BYU,08:52.7,3000 Steeplechase
"Brady, Brett",SR-4,Navy,08:52.8,3000 Steeplechase
"Tostenson, Jantz",JR-3,Georgetown,08:52.9,3000 Jteeplechase
"Young Jr, Joseph",SO-2,UMass Lowell,08:53.0,3000 Steeplechase
"Bruxvoort, Seth",JR-3,Wyoming,08:53.1,3000 Jteeplechase
"Weizeorick, Dan",JR-3,Marquette,08:53.3,3000 Jteeplechase
"Otte, Clark",SR-4,Stephen F. Austin,08:53.5,3000 Steeplechase
"Cawley, Kevin",JR-3,Connecticut,08:53.6,3000 Jteeplechase
"Renze, Jason",SO-2,Air Force,08:53.7,3000 Steeplechase
"Guerra, Anthony",JR-3,Cal Poly,08:53.8,3000 Jteeplechase
"Kiprop, Isaac",SR-4,Louisville,08:53.9,3000 Steeplechase
"Radtke, Teddy",JR-3,Texas A&M,08:54.0,3000 Jteeplechase
"Guest, Calbert",JR-3,Appalachian State,08:54.1,3000 Jteeplechase
"Shorten, Jackson",FR-1,Princeton,08:54.1,3000 Fteeplechase
"Niednagel, Caleb",SO-2,Colorado,08:54.1,3000 Steeplechase
"Thornsberry, Keeton",SO-2,Eastern Kentucky,08:54.1,3000 Steeplechase
"Butts, David",JR-3,La Salle,08:54.2,3000 Jteeplechase
"Lewis, Josh",JR-3,Penn State,08:54.3,3000 Jteeplechase
"Cannizzaro, Carmelo",SO-2,Mid. Tenn. State,08:54.3,3000 Steeplechase
"Fodor, Thomas",JR-3,Navy,08:54.4,3000 Jteeplechase
"Scasso, Giuliano",FR-1,Oregon,08:54.6,3000 Fteeplechase
"Nibbelink, Benjamin",JR-3,Wisconsin,08:54.8,3000 Jteeplechase
