Team,Time,Event
Florida,02:57.8,4X400
Alabama,02:58.0,4X400
Georgia,02:58.8,4X400
UCLA,02:59.2,4X400
Baylor,03:00.6,4X400
Arizona State,03:01.4,4X400
Kentucky,03:02.1,4X400
Clemson,03:02.2,4X400
Oklahoma,03:02.9,4X400
Tennessee,03:02.9,4X400
LSU,03:03.2,4X400
Texas A&M,03:03.2,4X400
BYU,03:03.2,4X400
Texas,03:03.3,4X400
Arkansas,03:03.3,4X400
Louisville,03:03.4,4X400
Iowa,03:03.7,4X400
TCU,03:03.9,4X400
Texas State,03:03.9,4X400
Texas Tech,03:04.1,4X400
Miss State,03:04.9,4X400
USC,03:05.0,4X400
Colorado,03:05.2,4X400
New Mexico,03:05.5,4X400
N. Carolina A&T,03:05.8,4X400
Ohio State,03:05.8,4X400
Oklahoma State,03:05.9,4X400
Illinois,03:06.0,4X400
Penn State,03:06.2,4X400
Virginia Tech,03:06.4,4X400
SE Louisiana,03:06.5,4X400
California,03:06.5,4X400
Kansas,03:06.6,4X400
Arizona,03:06.6,4X400
Grand Canyon,03:06.8,4X400
Navy,03:06.9,4X400
Minnesota,03:06.9,4X400
Alabama State,03:07.2,4X400
Nebraska,03:07.4,4X400
Houston,03:07.5,4X400
Harvard,03:07.8,4X400
Prairie View,03:07.9,4X400
Cornell,03:07.9,4X400
South Florida,03:08.0,4X400
Southern Utah,03:08.0,4X400
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Columbia,03:08.3,4X400
,,
Louisiana,03:08.3,4X400
,,
,,
UT-Rio Grande Valley,03:08.4,4X400
