Athlete Name,Year,Team,Time,Event
"Bizimana, Yusuf",JR-3,Texas,01:45.8,800
"Sumner, Will",FR-1,Georgia,01:46.2,800
"Rhoden, Tarees",JR-3,Clemson,01:46.2,800
"Hassan, Abdullahi",JR-3,Wisconsin,01:46.3,800
"Marshall, Camden",SO-2,Indiana,01:46.6,800
"Yanouri, Mehdi",JR-3,Oklahoma State,01:46.7,800
"Carrozza, Crayton",JR-3,Texas,01:46.7,800
"Ellis, Sam",SO-2,Washington,01:46.8,800
"Whitmarsh, Sam",SO-2,Texas A&M,01:46.8,800
"Crorken, Tiarnan",SR-4,Ole Miss,01:46.8,800
"Thornton, Aman",JR-3,Clemson,01:46.8,800
"Spencer, Adam",SO-2,Wisconsin,01:46.8,800
"Sahlman, Colin",FR-1,Northern Arizona,01:47.0,800
"Austin, Sam",SO-2,Florida,01:47.0,800
"Vilca, Marco",JR-3,Texas Tech,01:47.1,800
"McCarthy, Aidan",SO-2,Cal Poly,01:47.1,800
"Plant, Nicholas",FR-1,Virginia Tech,01:47.2,800
"Franklin, Baylor",SR-4,Ole Miss,01:47.2,800
"Gomez, Jason",SR-4,Iowa State,01:47.3,800
"Murphy, Conor",JR-3,Virginia,01:47.3,800
"Jones, Jonathan",SR-4,Texas,01:47.3,800
"Roban, Handal",FR-1,Penn State,01:47.3,800
"Dolan, Sean",JR-3,Villanova,01:47.3,800
"Swanepoel, Rynard",SO-2,Wake Forest,01:47.4,800
"Fernandez, Sebastian",SO-2,BYU,01:47.4,800
"Anderson, Navasky",SR-4,Miss State,01:47.4,800
"Kipyego, Darius",SO-2,Iowa State,01:47.4,800
"Smith, Peter",JR-3,Iowa State,01:47.5,800
"Nagel, Ben",SR-4,Virginia Tech,01:47.5,800
"Powell, Kash",JR-3,Long Beach St.,01:47.6,800
"Rodin, Jacob",SR-4,North Dakota State,01:47.6,800
"Green, A J",JR-3,Kansas,01:47.7,800
"Smallwood, Darius",SO-2,Penn State,01:47.7,800
"Selles, Alex",SR-4,LSU,01:47.7,800
"Poynter, Bobby",SR-4,USC,01:47.7,800
"Blackman, Dugion",SO-2,Hampton,01:47.7,800
"Martin, Gary",FR-1,Virginia,01:47.7,800
"Zahafi, Ayman",SR-4,Miami (Fla.),01:47.8,800
"Dodds, Callum",JR-3,Penn State,01:47.8,800
"Herrmann, Lorenz",JR-3,Idaho,01:47.8,800
"O'Toole, Justin",JR-3,Columbia,01:47.8,800
"Burr, Mitchell",JR-3,Army West Point,01:47.8,800
"Conrad, Christopher",SR-4,Missouri,01:47.9,800
"Elliott, Cass",SR-4,Washington,01:48.0,800
"Herron, Camron",JR-3,Texas,01:48.0,800
"Griner, Luke",JR-3,Army West Point,01:48.0,800
"Frilot, Lloyd",JR-3,Houston,01:48.1,800
"Dahl, Nick",SR-4,Duke,01:48.1,800
"Brouw, Ethan",SO-2,New Mexico,01:48.1,800
"Desmeules, Olivier",JR-3,Penn State,01:48.1,800
"Mahadi, Hafez",FR-1,Oklahoma State,01:48.2,800
"Rizzo, Alexander",SR-4,Navy,01:48.2,800
"Hanson, Drake",JR-3,Northern Iowa,01:48.2,800
"Henry, Gianni",FR-1,Albany,01:48.2,800
"Kadri, Ahmed",SO-2,Eastern Kentucky,01:48.2,800
"Bambals, Oskars",JR-3,Miami (Fla.),01:48.3,800
"Brown, Richard",JR-3,Western Illinois,01:48.3,800
"Castro, Juan Diego",SO-2,Oklahoma State,01:48.3,800
"Foster, Nick",SR-4,Michigan,01:48.4,800
"Russell III, Leroy",JR-3,Arkansas,01:48.4,800
"Gentil, Cebastian",SR-4,Iowa State,01:48.4,800
"Blake, J'Voughnn",FR-1,Dartmouth,01:48.4,800
"Dick, Justice",SR-4,Kansas,01:48.5,800
"Ndiwa, Victor",FR-1,Clemson,01:48.5,800
"Dorenkamp, Evan",JR-3,Penn State,01:48.5,800
"Wells, Riley",JR-3,Illinois State,01:48.5,800
"Mohamed, Mohammed",JR-3,Long Beach St.,01:48.5,800
"Ishii, Yukichi",SO-2,Penn State,01:48.5,800
"Hoots, Joe",SR-4,Tennessee,01:48.5,800
"Bachmann, Kenton",SR-4,Virginia,01:48.6,800
"Rivard, Liam",JR-3,La Salle,01:48.6,800
"Gaynor, Gavin",SR-4,NC State,01:48.6,800
"Pender, Clayborn",SR-4,Georgia,01:48.6,800
"Balick, Jack",JR-3,Pittsburgh,01:48.6,800
"Idhammar, Viktor",SO-2,Virginia Tech,01:48.6,800
"Pedroza, Robert",JR-3,North Florida,01:48.6,800
