Athlete Name,Year,Team,Mark,Event
"Alekna, Mykolas",SO-2,California,71.00m,Discus
"Stona, Roje",SR-4,Arkansas,68.64m,Discus
"Washington, Turner",SR-4,Arizona State,64.98m,Discus
"Pavlidis, Dimitrios",SO-2,Kansas,64.90m,Discus
"Mullings , Ralford",SO-2,Arkansas,62.79m,Discus
"Gumbs, Djimon",JR-3,Northwestern St.,62.77m,Discus
"Prinsloo, Francois",JR-3,South Alabama,62.53m,Discus
"Shurts, Dallin",JR-3,BYU,62.21m,Discus
"Ingraham, Milton",SR-4,Florida State,62.13m,Discus
"Otal, Zorawar",SR-4,Duke,62.06m,Discus
"Welsh, Sam",JR-3,Rice,62.04m,Discus
"de Falchi, Alan",JR-3,Alabama,61.82m,Discus
"Mason, Elijah",SR-4,Washington,61.77m,Discus
"Romero, Claudio",SR-4,LSU,61.30m,Discus
"Elbettar, Aidan",SO-2,UCLA,60.44m,Discus
"Joyner, Iffy",SR-4,California,60.43m,Discus
"Tirado-Sanchez, Axel",SO-2,Idaho State,60.41m,Discus
"Larrison, Patrick",SR-4,Kansas,59.92m,Discus
"Roberson, Devin",JR-3,Texas Tech,59.66m,Discus
"Appel, Matthew",SO-2,Yale,59.65m,Discus
"Coleman, Sebastian",SR-4,Long Beach St.,59.35m,Discus
"Bullock, Hayden",SR-4,Air Force,59.35m,Discus
"Nedrick, Kevin",SR-4,Liberty,59.27m,Discus
"Johnson, Jordan",JR-3,Iowa,59.27m,Discus
"Harrison, Anthony",JR-3,Kennesaw State,59.25m,Discus
"Coleman, Desmond",FR-1,Liberty,59.20m,Discus
"Aviles, Carlos",JR-3,Ohio State,58.91m,Discus
"Glaspie, Wardell",JR-3,North Texas,58.79m,Discus
"Ikpeazu, Chudi",SR-4,Stanford,58.78m,Discus
"Gehm, Zach",SR-4,Youngstown St.,58.69m,Discus
"Koudssi, Youssef",SR-4,Arizona,58.56m,Discus
"Otterdahl, Maxwell",JR-3,Nebraska,58.53m,Discus
"Osbourne, Javon",SO-2,Troy,58.47m,Discus
"Morris, Jackson",SR-4,Colorado St.,58.38m,Discus
"Van Niekerk, Chris",SR-4,High Point,58.08m,Discus
"Grubbs, Kevin",SO-2,North Texas,58.06m,Discus
"Vollbrecht, Jaekob",SR-4,VCU,58.05m,Discus
"Stone, Andrew",JR-3,Wisconsin,58.01m,Discus
"Norris, Daniel",SO-2,Southern Illinois,57.96m,Discus
"Gibson, Jamir",SR-4,Georgia Tech,57.88m,Discus
"White, Andrew",JR-3,Wake Forest,57.85m,Discus
"Woodley, Sam",JR-3,Rice,57.82m,Discus
"Sheere, Adar",SR-4,Louisville,57.77m,Discus
"Weber, Mitchell",JR-3,Missouri,57.48m,Discus
"Everett, Matthew",JR-3,Wichita State,57.38m,Discus
"Nubbe, Jeremiah",FR-1,Texas,57.17m,Discus
"Pinckney , Michael",FR-1,UCLA,56.96m,Discus
"Wiggins, TJ",FR-1,Long Beach St.,56.89m,Discus
"Sakson, Kevin",JR-3,Iowa State,56.82m,Discus
"Helm, Casey",FR-1,Princeton,56.81m,Discus
"Wilson, Jonah",SR-4,Nebraska,56.64m,Discus
"Sudduth, Tyler",SO-2,Illinois,56.59m,Discus
"Stavinoha, Sean",JR-3,Texas,56.57m,Discus
"Grueso Mosqquera, Ronald",SO-2,Washington St.,56.57m,Discus
"Siekmeier, Kaleb",SR-4,Minnesota,56.55m,Discus
"Puff, Wyatt",JR-3,Indiana State,56.53m,Discus
"Kubiatowicz, Jake",SR-4,Minnesota,56.44m,Discus
"Bouzakis, Konstantinos",FR-1,Rutgers,56.38m,Discus
"Rodriguez, Oscar",JR-3,Grand Canyon,56.36m,Discus
"Morell, Brad",JR-3,Cornell,56.28m,Discus
"Koch, Noah",JR-3,Indiana,56.26m,Discus
"Gumbs, Diamante",JR-3,Northwestern St.,56.19m,Discus
"Phillips, Adam",SO-2,Drake,56.19m,Discus
"Targgart, Cole",SR-4,Southern Illinois,56.18m,Discus
"Mechler, Jacob",SO-2,Texas Tech,56.17m,Discus
"Katches, Gabriel",SO-2,UCLA,56.12m,Discus
"Schmidt, Sascha",FR-1,Memphis,56.04m,Discus
"James, Jaden",FR-1,LSU,55.97m,Discus
"Collier, Nathanial",FR-1,Abilene Christian,55.95m,Discus
"Pepe, Michael",SR-4,Wagner,55.83m,Discus
"Tracy, Jacob",SO-2,Arkansas State,55.79m,Discus
"Hudson, Tarajh",SO-2,Northwestern St.,55.68m,Discus
"Lipscomb, Kyle",JR-3,Rutgers,55.60m,Discus
"Brown, Tyler",JR-3,Nebraska,55.57m,Discus
"Bryant, Danny",SO-2,BYU,55.56m,Discus
"West, Jordan",SR-4,Arkansas,55.51m,Discus
"Moore, Corey",JR-3,UC Davis,55.43m,Discus
"Kieny, Joseph",FR-1,Kansas,55.37m,Discus
"Rowan, Rece",SO-2,Missouri,55.35m,Discus
"George, Tarique",SO-2,Wyoming,55.27m,Discus
"Forist, Zane",FR-1,Michigan,55.24m,Discus
"Hoffman, Joshua",JR-3,New Hampshire,55.21m,Discus
"Spencer, Korbin",JR-3,Cincinnati,55.12m,Discus
"Hudson, Bryan",JR-3,Louisville,55.11m,Discus
"Merkley, Tyler",SR-4,Penn State,55.06m,Discus
"Dibo, Will",FR-1,Memphis,54.98m,Discus
"Targgart , Dylan",SO-2,South Carolina,54.86m,Discus
"Landa, Zach",JR-3,Arizona,54.84m,Discus
"Huelskamp, Athan",SO-2,Abilene Christian,54.83m,Discus
"Boamah, Joshua",JR-3,Navy,54.71m,Discus
"Sobota, Josh",SR-4,Kentucky,54.63m,Discus
"Otterdahl, Trevor",SR-4,North Dakota State,54.61m,Discus
"Jones, Cam",SO-2,Iowa State,54.60m,Discus
"Loschner, Sebastian",JR-3,South Alabama,54.59m,Discus
"Maka, John",JR-3,Sacramento St.,54.56m,Discus
"Bolt, Noah",JR-3,Indiana State,54.50m,Discus
"Ramos, Zack",JR-3,Idaho State,54.50m,Discus
