Athlete Name,Year,Team,Mark,Event
"Zaltos, Kostas",JR-3,Minnesota,75.27m,Hammer Throw
"Geist, Jordan",SR-4,Arizona,74.14m,Hammer Throw
"Ikeji, Kenneth",SO-2,Harvard,74.12m,Hammer Throw
"Andrade, Decio",SR-4,Miami (Fla.),73.77m,Hammer Throw
"Merkley, Tyler",SR-4,Penn State,73.67m,Hammer Throw
"Pereira, Alencar",SR-4,Georgia,72.85m,Hammer Throw
"Polychroniou, Nikolaos",SO-2,USC,72.58m,Hammer Throw
"Rogers, Isaiah",SR-4,Kennesaw State,71.90m,Hammer Throw
"Robinson-O'Hagan, Tarik",FR-1,Ole Miss,71.25m,Hammer Throw
"Barmes, Anthony",SO-2,Drake,70.53m,Hammer Throw
"Colantonio, Bobby",SR-4,Alabama,70.47m,Hammer Throw
"Otterdahl, Trevor",SR-4,North Dakota State,70.35m,Hammer Throw
"Schroeter, Kegan",SR-4,California,70.21m,Hammer Throw
"Nubbe, Jeremiah",FR-1,Texas,69.65m,Hammer Throw
"Kubiatowicz, Jake",SR-4,Minnesota,69.60m,Hammer Throw
"Moisander, Ivar",JR-3,California,69.32m,Hammer Throw
"White, Jayden",JR-3,Washington,69.10m,Hammer Throw
"Johnson, Christian",JR-3,USC,69.01m,Hammer Throw
"McCall, Kade",JR-3,Kansas State,68.97m,Hammer Throw
"Palma Simo, Aimar",JR-3,Arkansas State,68.94m,Hammer Throw
"Joycey, James",SR-4,North Carolina,68.38m,Hammer Throw
"Klykov, Oleg",JR-3,Kansas,68.04m,Hammer Throw
"Hessling, Fabio",JR-3,San Jose St.,67.65m,Hammer Throw
"McKhann, Max",SR-4,Stanford,67.62m,Hammer Throw
"Smith, Cameron",JR-3,Army West Point,67.56m,Hammer Throw
"Ebel, Erik",SR-4,Auburn,67.46m,Hammer Throw
"Strunk, Mason",SO-2,Oregon,67.33m,Hammer Throw
"Moison, Kyle",JR-3,Auburn,67.29m,Hammer Throw
"Emig, Kris",JR-3,UCLA,67.23m,Hammer Throw
"Yearwood, Troy",SR-4,North Carolina,67.18m,Hammer Throw
"Feuerborn, Parker",SR-4,SE Missouri,67.14m,Hammer Throw
"Coil, Sam",SR-4,Wisconsin,67.00m,Hammer Throw
"Brown, Kyle",JR-3,Auburn,66.73m,Hammer Throw
"Leonard, Grady",SR-4,Texas State,66.65m,Hammer Throw
"Ward, Matt",JR-3,Colorado,66.33m,Hammer Throw
"Vanos, Johnny",SR-4,Purdue,66.32m,Hammer Throw
"Winter, Eli",JR-3,Michigan,66.23m,Hammer Throw
"Boamah, Joshua",JR-3,Navy,66.20m,Hammer Throw
"Mockler, Sean",SO-2,Indiana,66.15m,Hammer Throw
"Stephenson, Newlyn",SR-4,Eastern Michigan,65.90m,Hammer Throw
"Smith, Bryson",SO-2,San Jose St.,65.58m,Hammer Throw
"Burkhart, Collin",SO-2,Penn State,65.43m,Hammer Throw
"Dalton, Jake",SO-2,Dartmouth,65.39m,Hammer Throw
"Devries, Joshua",JR-3,Michigan State,65.39m,Hammer Throw
"Kerry, Shaun",JR-3,Rice,65.31m,Hammer Throw
"Coles, Logan",SO-2,Kentucky,65.31m,Hammer Throw
"Murphy, John",SR-4,Northern Arizona,65.30m,Hammer Throw
"Swarens, Jason",SO-2,Wisconsin,65.15m,Hammer Throw
"Gross, William",JR-3,Akron,65.13m,Hammer Throw
"Hicks, John",JR-3,Liberty,64.91m,Hammer Throw
"Bernstein, Alex",SO-2,DePaul,64.78m,Hammer Throw
"Wilson, Milton",SR-4,Akron,64.75m,Hammer Throw
"Coleman, Sebastian",SR-4,Long Beach St.,64.74m,Hammer Throw
"Prete, Jaret",SR-4,Air Force,64.74m,Hammer Throw
"Cope, Daniel",SO-2,Clemson,64.67m,Hammer Throw
"Neal-Jackson, Jabari",JR-3,Akron,64.59m,Hammer Throw
"Webb, Terrell",JR-3,SE Louisiana,64.09m,Hammer Throw
"Pihlkar, Jack",SR-4,Wake Forest,64.02m,Hammer Throw
"Lipscomb, Kyle",JR-3,Rutgers,63.99m,Hammer Throw
"Siekmeier, Kaleb",SR-4,Minnesota,63.98m,Hammer Throw
"Bedoui, Khalil",JR-3,Virginia Tech,63.98m,Hammer Throw
"Marshall, Ethan",JR-3,Drake,63.89m,Hammer Throw
"Gupta, Michael",JR-3,California,63.78m,Hammer Throw
"Decker, Robert",SO-2,Manhattan,63.73m,Hammer Throw
"Fay, John",SO-2,Virginia,63.72m,Hammer Throw
"Abdulky, Cal",SO-2,Rice,63.67m,Hammer Throw
"Swadley, Marshall",SO-2,SE Missouri,63.57m,Hammer Throw
"Schafer, Isaiah",JR-3,Minnesota,63.57m,Hammer Throw
"Hooper, Cole",JR-3,Wisconsin,63.33m,Hammer Throw
"Wallster, Hunter",SO-2,South Dakota St.,63.12m,Hammer Throw
"Ryer, Ben",SO-2,Oklahoma,62.86m,Hammer Throw
"Robbins, Asher",FR-1,Princeton,62.75m,Hammer Throw
"Smith, Sean",FR-1,Iowa,62.69m,Hammer Throw
"Buchanan, Amiri",JR-3,Illinois State,62.58m,Hammer Throw
"Innes, Sam",FR-1,Missouri,62.53m,Hammer Throw
"Lott, Desmond",JR-3,Northern Arizona,62.53m,Hammer Throw
"Jones, Cam",SO-2,Iowa State,62.50m,Hammer Throw
"Fertig, Erik",JR-3,Louisville,62.41m,Hammer Throw
"Clark, Dylan",SR-4,SE Missouri,62.41m,Hammer Throw
"Pisciotta, Nicholas",JR-3,Northeastern,62.32m,Hammer Throw
"Bernt, Garret",JR-3,Northern Arizona,62.32m,Hammer Throw
"Gamez, Pablo",SR-4,Long Beach St.,62.32m,Hammer Throw
"Parchman, Jake",JR-3,North Texas,62.29m,Hammer Throw
"Pinckney , Michael",FR-1,UCLA,62.25m,Hammer Throw
"Prinsloo, Francois",JR-3,South Alabama,62.25m,Hammer Throw
"Morell, Brad",JR-3,Cornell,62.24m,Hammer Throw
"Bush, Tristan",SR-4,North Dakota State,62.19m,Hammer Throw
"Amaya, Daniel",SO-2,Pittsburgh,62.15m,Hammer Throw
"Hicks, Nick",SR-4,Rice,61.99m,Hammer Throw
"Kwatkosky, Samuel",SR-4,Navy,61.75m,Hammer Throw
"Devaney, Rory",FR-1,Cal Poly,61.68m,Hammer Throw
"Stroka, Cooper",SO-2,Air Force,61.65m,Hammer Throw
"Wood, Konner",SO-2,Texas Tech,61.64m,Hammer Throw
"Akinjisola, Jide",SR-4,Duke,61.59m,Hammer Throw
"Pable, Benjamin",SO-2,Dartmouth,61.49m,Hammer Throw
"Shoaf, Michael",JR-3,Notre Dame,61.43m,Hammer Throw
"Kusky, Blake",JR-3,Notre Dame,61.40m,Hammer Throw
"Freeman , Jared",JR-3,UC Santa Barbara,61.29m,Hammer Throw
"Gabriel, Michael",SO-2,Dartmouth,61.28m,Hammer Throw
"Thielemann, Luke",JR-3,Sam Houston,61.26m,Hammer Throw
