Athlete Name,Year,Team,Mark,Event
"Turner, Vernon",SR-4,Oklahoma,2.30m,High Jump
"Allen, Trey",JR-3,Louisville,2.25m,High Jump
"McBride II, Charles",JR-3,Campbell,2.25m,High Jump
"Beckford, Romaine",JR-3,South Florida,2.24m,High Jump
"Hill, Dontavious",SR-4,Auburn,2.24m,High Jump
"Unlu, Ali Eren",SO-2,ULM,2.23m,High Jump
"Stephens, Brion",FR-1,Louisville,2.22m,High Jump
"Stevic, Slavko",JR-3,SE Louisiana,2.22m,High Jump
"Vilches, Roberto",SR-4,Missouri,2.21m,High Jump
"Todd, Corvell",SR-4,Florida,2.21m,High Jump
"Miller, Jr., Shaun",JR-3,Ohio State,2.20m,High Jump
"Wilson, Tyus",SO-2,Nebraska,2.20m,High Jump
"Conner, Mayson",SR-4,Nebraska,2.20m,High Jump
"Jones, Tony",SR-4,Miss State,2.19m,High Jump
"Allen, Beau",SR-4,Duke,2.19m,High Jump
"Palen, Brady",JR-3,Wichita State,2.19m,High Jump
"Hatfield Jackson, Donald",JR-3,SE Missouri,2.19m,High Jump
"Loudermilk, Devin",SO-2,Kansas,2.19m,High Jump
"Hurley, Sam",SO-2,Texas,2.18m,High Jump
"Jones, Johnathan",JR-3,Little Rock,2.17m,High Jump
"Hugh-Plott, Alex",SR-4,Oakland,2.17m,High Jump
"Mcdonald, Kaithon",SR-4,Texas Tech,2.17m,High Jump
"Rivers, Jalan",SO-2,Air Force,2.17m,High Jump
"Wilborn, Caleb",JR-3,Texas Tech,2.17m,High Jump
"Clark, Aidan",JR-3,Virginia Tech,2.16m,High Jump
"Belik, Jakub",SO-2,UTEP,2.16m,High Jump
"Hawkins, Sherman",FR-1,Jackson State,2.16m,High Jump
"Chenworth, Kelton",JR-3,Utah State,2.16m,High Jump
"Grimsman, Jake",SO-2,BYU,2.16m,High Jump
"Ferguson, Channing",SO-2,USC Upstate,2.16m,High Jump
"Curry, Dorian",JR-3,South Alabama,2.15m,High Jump
"O'Riley, Kason",SO-2,Arkansas,2.15m,High Jump
"Amata, Ese",JR-3,Rice,2.15m,High Jump
"Cavazos II, Juan",JR-3,Kennesaw State,2.15m,High Jump
"Bajoit, Carter",JR-3,Texas A&M,2.15m,High Jump
"Snowden, Caleb",JR-3,Arkansas-Pine Bluff,2.15m,High Jump
"Moore, Joshua",JR-3,Eastern Kentucky,2.15m,High Jump
"Erhire, Omamuyovwi",JR-3,Texas Tech,2.15m,High Jump
"Sigfinnsson, Kristjan",FR-1,Arizona,2.15m,High Jump
"Wolf, Austin",SR-4,North Dakota,2.14m,High Jump
"Gillis , Leon",FR-1,UC Santa Barbara,2.14m,High Jump
"Pluff, Zack",JR-3,Iowa,2.14m,High Jump
"Wiseman, Jack",JR-3,UC San Diego,2.14m,High Jump
"Baldwin, Heath",JR-3,Michigan State,2.14m,High Jump
"Garnett, Aiden",FR-1,Utah Valley,2.14m,High Jump
"Rolen, Grayson",JR-3,Indiana,2.14m,High Jump
"Stoudmire, Turey",FR-1,Texas Southern,2.14m,High Jump
"Babbington, Alex",JR-3,Illinois,2.13m,High Jump
"Hoffer, Michael",SR-4,Nebraska,2.13m,High Jump
"Lara, Donovan",SO-2,UNCW,2.13m,High Jump
"Krauss, Seth",SR-4,Utah Valley,2.13m,High Jump
"Kelly, Randy",FR-1,Northwestern St.,2.12m,High Jump
"Simms, Sultan",JR-3,Kennesaw State,2.12m,High Jump
"Thompson, Trevor",SR-4,Indiana State,2.12m,High Jump
"McNeil, John",JR-3,Brown,2.12m,High Jump
"Gerald, Elias",FR-1,USC,2.12m,High Jump
