Athlete Name,Year,Team,Mark,Event 
"Strachan, Keyshawn",FR-1,Auburn,84.27m,Javelin
"Dabbs, Ethan",SR-4,Virginia,80.82m,Javelin
"Minichello, Marc",SR-4,Georgia,80.62m,Javelin
"Nnamdi , Chinecherem Prosper",SO-2,Baylor,79.98m,Javelin
"Pedigo, Tzuriel",JR-3,LSU,78.34m,Javelin
"Petersen, Arthur",JR-3,Nebraska,77.08m,Javelin
"Bates, Cameron",JR-3,BYU,76.07m,Javelin
"Stein, Mike",FR-1,Iowa,75.59m,Javelin
"Sirmon, Dash",FR-1,Nebraska,75.35m,Javelin
"Frost, Lucas",JR-3,Rhode Island,75.03m,Javelin
"Morris, Jackson",SR-4,Colorado St.,74.27m,Javelin
"Niedrowski, Evan",SO-2,Monmouth,74.20m,Javelin
"Saldutto, Callan",JR-3,ULM,73.67m,Javelin
"Presser, Braden",JR-3,Navy,73.08m,Javelin
"Horsford, Tyriq",JR-3,Miss State,72.49m,Javelin
"Winkler, Colin",SR-4,Connecticut,72.35m,Javelin
"DiSanza, Franck",JR-3,Miss State,72.18m,Javelin
"Campbell, Scott",JR-3,Duke,72.16m,Javelin
"Parsons, Austin",SR-4,Minnesota,72.15m,Javelin
"Keenan, John",SR-4,Notre Dame,72.06m,Javelin
"Gasparini, Marten",JR-3,Grand Canyon,71.99m,Javelin
"Phillips, Benji",JR-3,North Dakota State,71.82m,Javelin
"Hankins, Sam",JR-3,Texas A&M,71.81m,Javelin
"O'Riley, Jared",JR-3,Arizona,71.79m,Javelin
"Kotowski, James",SO-2,UMass Lowell,71.78m,Javelin
"Barrett, Chris",SR-4,Army West Point,71.66m,Javelin
"Rougete, Remi",JR-3,Miss State,71.60m,Javelin
"Jackson, Luke",JR-3,Duke,71.58m,Javelin
"Kraft, Matt",SO-2,North Dakota State,71.22m,Javelin
"Favorov, Vitaliy",SO-2,Memphis,71.09m,Javelin
"Ault, Chandler",JR-3,Washington,70.93m,Javelin
"Coponi, Steven",JR-3,Rutgers,70.47m,Javelin
"Burkhart, Collin",SO-2,Penn State,70.23m,Javelin
"Marcus, Tripp",JR-3,Samford,70.10m,Javelin
"Dubois, Adam",FR-1,Rhode Island,69.21m,Javelin
"Rimes, Jackson",SO-2,LSU,69.16m,Javelin
"Koletsi, Gabriel",FR-1,UMBC,69.15m,Javelin
"Baldwin, Heath",JR-3,Michigan State,69.11m,Javelin
"Todd, Evan",JR-3,Montana,69.06m,Javelin
"Bagnell, Chris",JR-3,Monmouth,69.05m,Javelin
"Freschlin, Nikolaj",JR-3,Rhode Island,69.04m,Javelin
"Canchola, Izac",JR-3,Stephen F. Austin,69.02m,Javelin
"Hampton, Ty",SO-2,Oregon,68.84m,Javelin
"Mather, Joshua",JR-3,Rutgers,68.59m,Javelin
"Hook, Trevor",SR-4,Northern Arizona,68.49m,Javelin
"Brown, Tyler",JR-3,Nebraska,68.47m,Javelin
"Kinder, Jett",JR-3,Oregon,68.27m,Javelin
"Walker, Caleb",SO-2,Navy,68.23m,Javelin
"Podraza, Zach",SR-4,Iowa State,68.23m,Javelin
"Coffey, Nickolas",JR-3,Villanova,67.90m,Javelin
"Mitchell, Roman",SR-4,North Carolina,67.86m,Javelin
"Hill, Zion",SR-4,North Texas,67.53m,Javelin
"Bartosh, Kevin",JR-3,Penn State,67.51m,Javelin
"Rieckmann, Ryan",SO-2,Eastern Washington,67.49m,Javelin
"Stewart, Cole",JR-3,Troy,67.44m,Javelin
"Rasmussen, Dalton",SR-4,Oregon,67.20m,Javelin
"Ratcliff, Logan",JR-3,Central Connecticut,67.13m,Javelin
"McLain, Weston",SO-2,Youngstown St.,66.99m,Javelin
"Paulson, Brinton",FR-1,BYU,66.92m,Javelin
"Moffett, Walter",FR-1,Grand Canyon,66.78m,Javelin
"Boorse, Taylor",JR-3,Monmouth,66.64m,Javelin
"Larriviere, Jack",SO-2,LSU,66.55m,Javelin
"Wade, Garrett",SR-4,Texas Tech,66.50m,Javelin
"Hockett, Matthew",JR-3,Montana,66.36m,Javelin
"Trafny, Josh",JR-3,Weber State,66.16m,Javelin
"DeBarber, Ryan",SO-2,UNCW,66.04m,Javelin
"Olsen, Jack",FR-1,Washington,66.00m,Javelin
"Crkvenac, Cole",FR-1,FIU,65.80m,Javelin
"Sargent, Abraham",JR-3,Oral Roberts,65.71m,Javelin
"Placek, Joe",JR-3,Kansas State,65.68m,Javelin
"Brosious, Parker",SR-4,Army West Point,65.67m,Javelin
"Hansgaard, Vitus",SO-2,North Texas,65.65m,Javelin
"Weaver, Marcus",SO-2,Arkansas,65.65m,Javelin
"Cocco, Ethan",JR-3,Clemson,65.64m,Javelin
"Mylin, Ethan",SO-2,Liberty,65.59m,Javelin
"Arias, Christopher",JR-3,William & Mary,65.57m,Javelin
"Shughart, Ben",SO-2,Liberty,65.46m,Javelin
"Clement, Chase",JR-3,BYU,65.38m,Javelin
"Longino, Hunter",SO-2,McNeese State,65.36m,Javelin
"Canard, Cody",JR-3,Weber State,65.34m,Javelin
"Higgins, Miles",FR-1,UNCW,65.26m,Javelin
"DiDario, Joseph",JR-3,Duke,65.06m,Javelin
"Cordeiro, Seth",JR-3,Rhode Island,65.01m,Javelin
"Nizich, Joe",SO-2,Air Force,64.98m,Javelin
"Jameson, Tanner",SR-4,Connecticut,64.90m,Javelin
"Zawatski, Tyler",FR-1,Virginia,64.70m,Javelin
"Hayford, Connor",FR-1,Connecticut,64.54m,Javelin
"Thor, Simon",JR-3,Texas State,64.51m,Javelin
"Tarr, Chase",SR-4,UC Santa Barbara,64.35m,Javelin
"Grinnell, Andrew",JR-3,Villanova,64.30m,Javelin
"Miksic, Liam",SO-2,UC Irvine,64.23m,Javelin
"Farr, Josh",SR-4,Washington St.,64.21m,Javelin
"Chernov, Danil",SR-4,Buffalo,64.15m,Javelin
"Kilgore, Josiah",SO-2,SE Missouri,64.07m,Javelin
"Forsyth, Nick",FR-1,Utah Valley,64.02m,Javelin
"Khatra, Anoop",JR-3,UCLA,63.92m,Javelin
"Stoicoviclu, Julian",JR-3,Texas A&M,63.89m,Javelin
"McLaren, Brandon",JR-3,Alabama A&M,63.89m,Javelin
"Abbott, Mekhi",SR-4,Howard,63.69m,Javelin
"Thomas, Brad",SO-2,UC Santa Barbara,63.66m,Javelin
