Athlete Name,Year,Team,Mark,Event
"Pinnock, Wayne",SO-2,Arkansas,8.37m,Long Jump
"Brackins, Johnny",SO-2,USC,8.30m,Long Jump
"Davis, Jeremiah",SR-4,Florida State,8.19m,Long Jump
"McLeod, Carey",SR-4,Arkansas,8.14m,Long Jump
"Willis, Jeremiah",JR-3,Louisville,8.06m,Long Jump
"Crump, Cameron",SR-4,Miss State,8.04m,Long Jump
"Sathyanathan, Lokesh",FR-1,New Mexico,8.02m,Long Jump
"Dixon-Bodie, Sean",JR-3,Florida,8.00m,Long Jump
"Hatfield Jackson, Donald",JR-3,SE Missouri,7.98m,Long Jump
"Turner, Jordan",FR-1,Kentucky,7.97m,Long Jump
"Foster, Greg",FR-1,Princeton,7.97m,Long Jump
"Clemons, Malcolm",SO-2,Florida,7.96m,Long Jump
"Hunt, Ramsey",JR-3,Eastern Illinois,7.96m,Long Jump
"Stevenson, JC",FR-1,USC,7.95m,Long Jump
"Hicklin, Brandon",SR-4,LSU,7.95m,Long Jump
"Reed, Ajamu",FR-1,San Jose St.,7.93m,Long Jump
"Robinson, Sincere",SO-2,Rutgers,7.93m,Long Jump
"Johnson, Aaron",SR-4,Utah Valley,7.92m,Long Jump
"Burkey, Jake",JR-3,New Mexico,7.92m,Long Jump
"Washington, Solomon",SO-2,Texas,7.88m,Long Jump
"O'Neal, Cameron",JR-3,Georgia Tech,7.88m,Long Jump
"Preddie, Chris",FR-1,Texas State,7.87m,Long Jump
"Williams, Nikaoli",SO-2,Oklahoma,7.87m,Long Jump
"Williams, Curtis",FR-1,Florida State,7.87m,Long Jump
"Garland, Kyle",SR-4,Georgia,7.87m,Long Jump
"Rodrigues, Reinaldo",SO-2,Arizona,7.86m,Long Jump
"Carter, James",SR-4,Iowa,7.85m,Long Jump
"Robinson, Russell",JR-3,Miami (Fla.),7.83m,Long Jump
"Foster, Caleb",SO-2,Florida,7.83m,Long Jump
"Mersal, Kareem",JR-3,Wyoming,7.83m,Long Jump
"Pree, Kenneth",SR-4,Texas Southern,7.83m,Long Jump
"Harry, Xakai",JR-3,Weber State,7.83m,Long Jump
"Steinforth, Till",SO-2,Nebraska,7.80m,Long Jump
"Udunna , Jedidiah",FR-1,UT-Rio Grande Valley,7.80m,Long Jump
"Effing, Mitchell",JR-3,Northern Arizona,7.79m,Long Jump
"Turner, Jack",JR-3,UTSA,7.79m,Long Jump
"Holmes, Jaren",SO-2,TCU,7.79m,Long Jump
"Mustari, Leonard",SO-2,Tennessee,7.78m,Long Jump
"Anderson, Blair",SO-2,Oklahoma State,7.77m,Long Jump
"Lopes Ribeiro, Yvan",JR-3,Eastern Michigan,7.77m,Long Jump
"Eddowes, Colby",FR-1,Arkansas State,7.75m,Long Jump
"Mane, Salif",SR-4,Fairleigh Dickinson,7.74m,Long Jump
"Moore, Micaylon",JR-3,Nebraska,7.73m,Long Jump
"Gordon, Louis",JR-3,Albany,7.73m,Long Jump
"English, Cedar",SO-2,Southern Utah,7.73m,Long Jump
"Charles, Smith",SR-4,Cornell,7.72m,Long Jump
"Kerr, Kavian",FR-1,Nebraska,7.70m,Long Jump
"Brown, Ryan",SR-4,Arkansas,7.69m,Long Jump
"Baker, John",JR-3,Arkansas,7.69m,Long Jump
"Artis, Prestin",SO-2,Washington,7.69m,Long Jump
"Jackson, Jalyn",SR-4,UCLA,7.68m,Long Jump
"Chalmers, Derek",FR-1,Rhode Island,7.68m,Long Jump
"Bullock, Ji'eem",JR-3,LSU,7.67m,Long Jump
"Coke, Shakwon",JR-3,Arkansas,7.67m,Long Jump
"Hammond, Jeff",JR-3,Coppin State,7.67m,Long Jump
"Watson-Riggins, Queshun",SR-4,FIU,7.67m,Long Jump
"Neugebauer , Leo",JR-3,Texas,7.66m,Long Jump
"Klein, Tayton",FR-1,Kansas,7.66m,Long Jump
"Clark, Dajon",JR-3,Florida A&M,7.65m,Long Jump
"Bridgett, A'Nan",SR-4,Rutgers,7.65m,Long Jump
"Morrison, Marc",SO-2,Connecticut,7.64m,Long Jump
"Hunter, Allan",JR-3,Stanford,7.64m,Long Jump
"Manorowitz, Zach",JR-3,Rider,7.64m,Long Jump
"Novakovic, Dimitrije",JR-3,Akron,7.64m,Long Jump
"Campbell, Anthony",SR-4,Milwaukee,7.64m,Long Jump
"Brown Jr, Stacy",JR-3,Texas,7.64m,Long Jump
"McCants, Jordan",FR-1,Florida,7.63m,Long Jump
"Le Roux, Christiaan",JR-3,UTSA,7.63m,Long Jump
"Hunt, Tye",JR-3,Youngstown St.,7.62m,Long Jump
"Belaire, Jathan",JR-3,Texas,7.62m,Long Jump
"Nkeonye, Destiny",SO-2,Houston Christian,7.62m,Long Jump
"Lindo, Adam",FR-1,Northwestern St.,7.62m,Long Jump
"Higgs-Salaam, Jabari",JR-3,Rutgers,7.61m,Long Jump
"Okafor, Benjamin",SR-4,Houston,7.60m,Long Jump
"Sakai, Haruki",JR-3,Akron,7.60m,Long Jump
"Acheampong, Jaeschel",SO-2,Harvard,7.60m,Long Jump
"Buchanan, Michael",SO-2,Minnesota,7.60m,Long Jump
"McFarlane, Joel",JR-3,UTSA,7.60m,Long Jump
"Gilreath, Andrew",SO-2,Northwestern St.,7.60m,Long Jump
"Farquharson, Stephan",SO-2,Albany,7.60m,Long Jump
"Wallace, Austin",SR-4,Milwaukee,7.60m,Long Jump
"Mitchell, Kaelen",SO-2,Kennesaw State,7.59m,Long Jump
"Owens, Owayne",SR-4,Virginia,7.59m,Long Jump
"Curington, Ryan",JR-3,Little Rock,7.59m,Long Jump
"Lewis, Christian",SO-2,Grambling,7.59m,Long Jump
"Love, Zachary",JR-3,Brown,7.58m,Long Jump
"McMorris, Hakim",SR-4,California,7.58m,Long Jump
"Majors, Sean",SR-4,Texas A&M-CC,7.58m,Long Jump
"Campbell, Clement",SR-4,Pittsburgh,7.58m,Long Jump
"McNeil, John",JR-3,Brown,7.58m,Long Jump
"Soto Torrado, Yariel",JR-3,Arkansas,7.58m,Long Jump
"Holland, Darius",JR-3,Tennessee-Martin,7.57m,Long Jump
"Bennett, Jhavor",FR-1,Kansas State,7.57m,Long Jump
"Wood, Christian",SR-4,Cal St. Fullerton,7.57m,Long Jump
"Kroeger, John",SO-2,Stanford,7.57m,Long Jump
"Blair , Cole",SO-2,Colgate,7.57m,Long Jump
"Noble, Sheldon",JR-3,Stephen F. Austin,7.56m,Long Jump
"Harris, William",JR-3,Abilene Christian,7.56m,Long Jump
"Hawkins, Sherman",FR-1,Jackson State,7.56m,Long Jump
"Forte, Maxwell",SO-2,Duke,7.55m,Long Jump
"Springfield, Robbie",JR-3,Kentucky,7.55m,Long Jump
"Sims, Sir Jonathan",FR-1,Arizona,7.55m,Long Jump
