Athlete Name,Year,Team,Mark,Event
"Guttormsen, Sondre",SR-4,Princeton,5.90m,Pole Vault
"Bradford, Zach",SR-4,Texas Tech,5.87m,Pole Vault
"Ellis, Branson",SR-4,Stephen F. Austin,5.86m,Pole Vault
"Rademeyer, Kyle",JR-3,South Alabama,5.82m,Pole Vault
"Garretson, Hunter",JR-3,Akron,5.71m,Pole Vault
"Simms, Clayton",SO-2,Kansas,5.65m,Pole Vault
"Daniel, Keaton",JR-3,Kentucky,5.65m,Pole Vault
"Slinkman, Alexander",JR-3,Rice,5.61m,Pole Vault
"Sampy, Christyan",JR-3,Houston,5.56m,Pole Vault
"Jelmert, Bradley",JR-3,Arkansas State,5.56m,Pole Vault
"Magula, Skyler",JR-3,California,5.55m,Pole Vault
"Stephenson, Trevor",SR-4,Michigan State,5.55m,Pole Vault
"Burns, Tyler",SO-2,California,5.55m,Pole Vault
"Carrel, Tyler",SO-2,Indiana,5.54m,Pole Vault
"Witsken, Caleb",SR-4,BYU,5.51m,Pole Vault
"Bresko, Mathis",JR-3,Cal Poly,5.51m,Pole Vault
"Lefker, Wyatt",SR-4,Youngstown St.,5.51m,Pole Vault
"Urlacher, Jak",SO-2,Minnesota,5.50m,Pole Vault
"Faurot, Marshall",JR-3,South Dakota,5.50m,Pole Vault
"Stone, Nathan",JR-3,Indiana,5.49m,Pole Vault
"Levesque, Grant",SO-2,Rice,5.46m,Pole Vault
"Englar, Jacob",SR-4,Washington,5.42m,Pole Vault
"Brown, Garrett",SO-2,Stanford,5.41m,Pole Vault
"Barkdull, Ashton",FR-1,Kansas,5.41m,Pole Vault
"Snyder, Travis",JR-3,Connecticut,5.41m,Pole Vault
"Chaigneau, Dorian",JR-3,Youngstown St.,5.40m,Pole Vault
"Davis, Zach",SR-4,Texas A&M,5.40m,Pole Vault
"Mann III, Jack",FR-1,Texas A&M,5.40m,Pole Vault
"Meacham, Anthony",FR-1,Kansas,5.40m,Pole Vault
"Conacher, Benjamin",JR-3,Baylor,5.39m,Pole Vault
"Guttormsen, Simen",SR-4,Princeton,5.37m,Pole Vault
"Saloga, Andrew",JR-3,Kansas,5.36m,Pole Vault
"Fraley, Logan",SR-4,Texas Tech,5.36m,Pole Vault
"Rhoads, James",SO-2,Penn,5.36m,Pole Vault
"Racey, Shane",JR-3,Cornell,5.36m,Pole Vault
"Babin, Kobe",SO-2,South Florida,5.36m,Pole Vault
"Toney, Scott",JR-3,Penn,5.36m,Pole Vault
"Mumme, Noah",SR-4,Ole Miss,5.35m,Pole Vault
"Hrbek, Tyler",SR-4,Duke,5.33m,Pole Vault
"Heinrichs, Samuel",SR-4,Cal St. Fullerton,5.33m,Pole Vault
"Miller, Warren",SR-4,Texas Tech,5.33m,Pole Vault
"Manson, Max",JR-3,Stanford,5.31m,Pole Vault
"Bendick, Luke",JR-3,Ohio State,5.31m,Pole Vault
"McCarthy, Dillon",SO-2,South Carolina,5.30m,Pole Vault
"Asplund, Matthew",JR-3,Auburn,5.30m,Pole Vault
"Domingue, Beau",FR-1,LSU,5.30m,Pole Vault
"van Huyssteen, Nikolai",FR-1,Georgia,5.30m,Pole Vault
"Cox, Austin",JR-3,Arizona State,5.30m,Pole Vault
"Staggs, William",SO-2,Indiana State,5.29m,Pole Vault
"Hottel, Brock",SR-4,North Texas,5.29m,Pole Vault
"Prieto, Oscar",SO-2,Akron,5.27m,Pole Vault
"Freidel, Jake",JR-3,Kansas,5.26m,Pole Vault
"Burnett, Nathan",JR-3,BYU,5.26m,Pole Vault
