Athlete Name,Year,Team,Mark,Event
"Wilson, Jonah",SR-4,Nebraska,21.32m,Shot Put
"Geist, Jordan",SR-4,Arizona,21.25m,Shot Put
"Otterdahl, Maxwell",JR-3,Nebraska,21.22m,Shot Put
"Kolesnikoff, Alexander",JR-3,Harvard,20.69m,Shot Put
"West, Jordan",SR-4,Arkansas,20.57m,Shot Put
"Swarens, Jason",SO-2,Wisconsin,20.54m,Shot Put
"Meyer, John",SR-4,LSU,20.50m,Shot Put
"Sobota, Josh",SR-4,Kentucky,20.42m,Shot Put
"Washington, Turner",SR-4,Arizona State,20.35m,Shot Put
"Stona, Roje",SR-4,Arkansas,20.08m,Shot Put
"Moudani, Fred",JR-3,Cincinnati,20.03m,Shot Put
"Landa, Zach",JR-3,Arizona,19.92m,Shot Put
"Trevino, Diego",SR-4,Oklahoma,19.91m,Shot Put
"Targgart , Dylan",SO-2,South Carolina,19.89m,Shot Put
"Pizarro, Lucciano",SO-2,Penn State,19.83m,Shot Put
"Tobias, Hayden",JR-3,Ohio State,19.82m,Shot Put
"Shubert, Kevin",JR-3,Nebraska,19.80m,Shot Put
"Schafer, Isaiah",JR-3,Minnesota,19.79m,Shot Put
"Lawrence, Courtney",JR-3,Kennesaw State,19.54m,Shot Put
"Koudssi, Youssef",SR-4,Arizona,19.50m,Shot Put
"Stone, Andrew",JR-3,Wisconsin,19.47m,Shot Put
"Foster, Bryce",SO-2,Texas A&M,19.45m,Shot Put
"Shoaf, Michael",JR-3,Notre Dame,19.41m,Shot Put
"Sudduth, Tyler",SO-2,Illinois,19.34m,Shot Put
"Gumbs, Djimon",JR-3,Northwestern St.,19.24m,Shot Put
"Robinson-O'Hagan, Tarik",FR-1,Ole Miss,19.24m,Shot Put
"Otterdahl, Trevor",SR-4,North Dakota State,19.22m,Shot Put
"Larrison, Patrick",SR-4,Kansas,19.17m,Shot Put
"Grueso Mosqquera, Ronald",SO-2,Washington St.,19.16m,Shot Put
"Kline, Jeff",JR-3,Maryland,19.11m,Shot Put
"Montgomery, Logan",FR-1,Florida,19.04m,Shot Put
"Blalock, Tyler",SR-4,Kennesaw State,19.00m,Shot Put
"Leonard, Grady",SR-4,Texas State,18.99m,Shot Put
"Duensing, Jeff",JR-3,California,18.94m,Shot Put
"Sakson, Kevin",JR-3,Iowa State,18.92m,Shot Put
