Athlete Name,Year,Team,Mark,Event
"Hibbert, Jaydon",FR-1,Arkansas,17.87m,Triple Jump
"Robinson, Russell",JR-3,Miami (Fla.),17.12m,Triple Jump
"Davis, Jeremiah",SR-4,Florida State,16.78m,Triple Jump
"Foote-Talley, Clarence",JR-3,Ohio State,16.71m,Triple Jump
"Owens, Owayne",SR-4,Virginia,16.61m,Triple Jump
"Mane, Salif",SR-4,Fairleigh Dickinson,16.54m,Triple Jump
"Brown Jr, Stacy",JR-3,Texas,16.49m,Triple Jump
"Brown, Ryan",SR-4,Arkansas,16.43m,Triple Jump
"Holmes, Jaren",SO-2,TCU,16.40m,Triple Jump
"Chambers, Chauncey",SR-4,Virginia Tech,16.40m,Triple Jump
"Erhire, Omamuyovwi",JR-3,Texas Tech,16.37m,Triple Jump
"Welch, Chris",SR-4,Texas Tech,16.30m,Triple Jump
"Edwards, Apalos",JR-3,LSU,16.28m,Triple Jump
"Edwards, Christian",SR-4,Alabama,16.22m,Triple Jump
"Dixon-Bodie, Sean",JR-3,Florida,16.21m,Triple Jump
"King, Keyshawn",SR-4,Texas Tech,16.17m,Triple Jump
"Moore, Micaylon",JR-3,Nebraska,16.15m,Triple Jump
"Davis, Astley",JR-3,Southern Utah,16.12m,Triple Jump
"Patterson, Jaden",SO-2,Kansas,16.09m,Triple Jump
"Miller, Jemuel",SO-2,UTSA,16.08m,Triple Jump
"Cunningham, Malik",SR-4,Villanova,16.08m,Triple Jump
"Aniamaka, Praise",SO-2,Purdue,16.03m,Triple Jump
"Mudzengerere, Theophilus",FR-1,TCU,16.02m,Triple Jump
"Effing, Mitchell",JR-3,Northern Arizona,16.01m,Triple Jump
"McBride II, Charles",JR-3,Campbell,16.00m,Triple Jump
"James, Dylan",JR-3,UTSA,15.98m,Triple Jump
"Carter, James",SR-4,Iowa,15.95m,Triple Jump
"Pinnock, Wayne",SO-2,Arkansas,15.92m,Triple Jump
"Bushara, Allam",JR-3,Colorado St.,15.91m,Triple Jump
"Campbell, Kelvin",SR-4,Kennesaw State,15.88m,Triple Jump
"Nikolaou, Grigoris",SO-2,Louisville,15.87m,Triple Jump
"Quinn, Aidan",SR-4,New Mexico,15.85m,Triple Jump
"Say, Bobby",SR-4,Eastern Washington,15.84m,Triple Jump
"Green, Brandon",FR-1,Oklahoma,15.83m,Triple Jump
"O'Garro, Taeco",SR-4,Fairleigh Dickinson,15.80m,Triple Jump
"Falode, Daniel",SO-2,Harvard,15.80m,Triple Jump
"Tosti, Gabriele",FR-1,Tarleton State,15.79m,Triple Jump
"Nachev, Georgi",SR-4,Missouri,15.78m,Triple Jump
"Jenkins, Jacob",JR-3,UTSA,15.77m,Triple Jump
"Lomax, Jakari",JR-3,Youngstown St.,15.73m,Triple Jump
"Clemons, Malcolm",SO-2,Florida,15.68m,Triple Jump
